index,left final value,left sse,left T,left tr,left Kp,left Ki,right final value,right sse,right T,right tr,right Kp,right Ki
1,4.805376667,-0.00537667,0.125,0.165,0.07,0.1,4.823781667,-0.02378167,0.165,0.193,0.07,0.1
2,4.523204878,0.276795122,0.13,0.17,0.08,0.1,3.071908943,1.728091057,0.06,0.165,0.08,0.1
3,4.756212,0.043788,0.145,0.149,0.15,0.1,4.80157,-0.00157,0.135,0.169,0.15,0.1
4,4.765778,0.034222,0.125,0.148,0.2,0.1,4.767138,0.032862,0.115,0.134,0.2,0.1
5,4.75391,0.04609,0.115,0.13,0.2,0.2,4.751991,0.048009,0.115,0.157,0.15,0.1
6,4.756041,0.043959,0.155,0.24,0.3,0.1,4.450122,0.349878,0.098,0.132,0.3,0.1
7,4.344786,0.455214,0.093,0.073,0.4,0.1,4.489022,0.310978,0.095,0.096,0.4,0.1
8,4.615743,0.184257,0.091,0.135,0.6,0.1,4.495328,0.304672,0.093,0.085,0.6,0.1
9,4.518514,0.281486,0.095,0.095,0.9,0.1,4.535822,0.264178,0.083,0.116,0.9,0.1
10,4.331906,0.468094,0.095,0.205,1.5,0.1,4.222495,0.577505,0.092,0.082,1.5,0.1
11,4.8272,-0.0272,0.172,0.198,0.05,0.1,4.837613,-0.03761,0.152,0.168,0.05,0.1
12,4.787394,0.012606,0.155,0.158,0.02,0.1,4.773158,0.026842,0.144,0.161,0.02,0.1
13,4.817448,-0.01745,0.125,0.148,0.005,0.1,4.796021,0.003979,0.135,0.123,0.005,0.1
14,4.49972,0.30028,0.17,0.159,0.0001,0.1,4.880605,-0.0806,0.146,0.165,0.0001,0.1
15,4.803303,-0.0033,0.145,0.15,0.07,0.2,4.858446,-0.05845,0.166,0.201,0.07,0.2
16,4.8197932,-0.01979,0.141379,0.146833,0.07,0.3,4.795211,0.004789,0.153942,0.13078,0.07,0.3
17,4.803735,-0.00374,0.159334,0.162933,0.07,0.5,4.793184,0.006816,0.148061,0.167404,0.07,0.5
18,4.793859,0.006141,0.13133,0.136801,0.07,0.8,4.827174,-0.02717,0.122507,0.115005,0.07,0.8
19,4.809196,-0.0092,0.113307,0.121752,0.07,1,4.802148,-0.00215,0.119187,0.106434,0.07,1
20,4.793761,0.006239,0.131557,0.12361,0.07,1.2,4.813933,-0.01393,0.117572,0.125338,0.07,1.2
21,4.797959,0.002041,0.112095,0.107388,0.07,2,4.810063,-0.01006,0.105649,0.115978,0.07,2
22,4.745999,0.054001,0.103386,0.081224,0.07,5,4.662318,0.137682,0.088978,0.072595,0.07,5
23,4.730539,0.069461,0.129144,0.151438,0.07,0.05,4.790681,0.009319,0.133156,0.149867,0.07,0.05
24,4.521013,0.278987,0.126214,0.1448,0.07,0.02,4.523643,0.276357,0.117499,0.129785,0.07,0.02
25,4.237652,0.562348,0.158116,0.173204,0.07,0.001,4.159069,0.640931,0.123571,0.135073,0.07,0.001
26,4.218791667,0.581208,0.255,0.28,0.07,0,4.108041667,0.6919583,0.13,0.15,0.07,0
27,4.806412541,-0.006412541,0.135,0.135,0.07,0.1,4.614729373,0.185270627,0.13,0.12,0.2,0.1
28,4.788159091,0.011840909,0.135,0.14,0.07,0.1,4.499954545,0.300045455,0.095,0.09,0.4,0.1
29,4.810436364,-0.010436364,0.145,0.145,0.07,0.1,4.4758,0.3242,0.07,0.08,0.8,0.1
30,4.882733945,-0.082733945,0.115,0.14,0.07,0.1,4.169614679,0.630385321,0.07,0.06,1.5,0.1
31,4.81337987,-0.01337987,0.174,0.18,0.07,0.1,4.786824675,0.013175325,0.12,0.13,0.07,0.2
32,4.849204678,-0.049204678,0.195,0.2,0.07,0.1,4.743947368,0.056052632,0.115,0.135,0.07,0.5
33,4.790767442,0.009232558,0.138,0.155,0.07,0.1,4.807069767,-0.007069767,0.127,0.135,0.07,1.5
34,4.776744361,0.023255639,0.115,0.129,0.07,0.1,4.845680451,-0.045680451,0.115,0.023,0.07,4
35,4.836628159,-0.036628159,0.13,0.157,0.07,0.1,4.787913357,0.012086643,0.138,0.133,0.07,0.05
36,4.783136364,0.016863636,0.13,0.2,0.07,0.1,4.439888112,0.360111888,0.12,0.18,0.07,0.01
37,4.804372093,-0.004372093,0.11,0.17,0.07,0.1,4.112614618,0.687385382,0.1,0.11,0.07,0.001
38,4.846441176,-0.046441176,0.12,0.14,0.07,0.1,4.163082353,0.636917647,0.12,0.09,0.07,0
39,4.552427807,0.247572193,0.12,0.12,0.2,0.1,4.80397861,-0.00397861,0.11,0.18,0.07,0.1
40,4.610410646,0.189589354,0.27,0.11,0.4,0.1,4.870091255,-0.070091255,0.13,0.12,0.07,0.1
41,4.416995169,0.383004831,0.08,0.11,0.8,0.1,4.814144928,-0.014144928,0.1,0.16,0.07,0.1
42,4.213902439,0.586097561,0.07,0.14,1.5,0.1,3.159513008,1.640486992,0.05,0.1,0.07,0.1
43,4.825782759,-0.025782759,0.11,0.14,0.07,0.2,4.807434483,-0.007434483,0.11,0.12,0.07,0.1
44,4.795385802,0.004614198,0.13,0.14,0.07,0.5,4.792848765,0.007151235,0.1,0.16,0.07,0.1
45,4.803021084,-0.003021084,0.12,0.1,0.07,1.5,4.785801205,0.014198795,0.12,0.1,0.07,0.1
46,4.770889247,0.029110753,0.1,-0.2,0.07,4,4.799039427,0.000960573,0.11,0.13,0.07,0.1
47,4.816252788,-0.016252788,0.11,0.16,0.07,0.05,4.854260223,-0.054260223,0.14,0.12,0.07,0.1
48,4.100566864,0.699433136,0.12,0.11,0.07,0.01,4.645112426,0.154887574,0.13,0.12,0.07,0.1
49,4.202052023,0.597947977,0.14,0.26,0.07,0.001,4.861699422,-0.061699422,0.15,0.12,0.07,0.1
50,4.157779874,0.642220126,0.11,0.1,0.07,0,4.836974843,-0.036974843,0.12,0.13,0.07,0.1
